source,target,weight
1,1,217
1,76,36
1,9,72
1,43,49
1,31,2
1,51,57
1,22,29
1,20,144
1,8,56
1,306,17
1,315,18
1,132,8
1,37,16
1,47,5
1,133,2
1,142,7
5,53,118
5,6,20
5,56,102
5,8,173
5,42,50
5,43,41
5,58,52
5,169,76
5,39,155
5,44,64
5,322,23
5,9,222
5,76,26
5,5,203
5,57,65
5,10,55
5,136,30
5,16,61
5,186,23
5,310,34
5,70,24
5,319,11
5,315,15
5,15,13
5,162,3
5,67,35
6,6,253
6,55,54
6,169,122
6,39,125
6,40,19
6,9,112
6,135,94
6,36,35
6,170,79
6,172,33
6,136,79
6,60,13
6,270,34
6,186,88
6,149,21
6,71,3
6,126,4
6,190,53
6,269,9
6,160,3
6,120,3
6,1,34
6,183,6
6,173,39
7,7,94
7,56,72
7,5,160
7,53,257
7,42,67
7,39,226
7,17,65
7,43,84
7,18,5
7,81,19
7,308,34
7,51,13
7,170,33
7,27,4
7,68,6
7,134,34
7,168,4
7,83,1
7,159,5
7,175,27
7,182,8
7,55,12
7,67,14
7,15,13
7,64,2
7,161,5
8,8,553
8,58,41
8,9,233
8,16,299
8,42,136
8,76,64
8,39,196
8,7,33
8,43,33
8,41,178
8,19,66
8,51,114
8,38,54
8,169,134
8,50,48
8,10,31
8,135,61
8,81,112
8,83,6
8,57,45
8,122,4
8,170,41
8,60,42
8,185,30
8,68,11
8,40,91
8,178,7
8,191,11
8,29,7
8,35,4
8,157,3
8,73,27
8,186,53
8,187,14
8,55,45
9,9,338
9,58,100
9,50,212
9,5,109
9,40,67
9,42,56
9,7,55
9,66,110
9,44,42
9,51,82
9,43,49
9,311,83
9,55,35
9,41,139
9,6,84
9,309,11
9,54,43
9,88,143
9,306,49
9,16,84
9,21,19
9,76,47
9,74,67
9,30,17
9,20,69
9,67,51
9,310,44
9,15,49
9,86,7
9,301,40
9,69,23
9,56,101
9,37,120
9,71,55
9,45,27
9,135,15
9,143,12
9,184,13
9,145,1
9,189,3
9,81,35
9,191,4
10,10,251
10,66,37
10,60,88
10,88,40
10,76,74
10,9,62
10,319,41
10,69,22
10,21,9
10,70,27
10,62,19
10,55,14
10,301,14
10,56,39
10,68,56
10,305,119
10,300,7
10,8,28
10,309,47
10,42,17
10,186,12
10,187,2
10,178,7
10,132,1
10,150,4
10,48,5
12,70,344
12,73,45
12,10,91
12,66,17
12,65,23
12,51,27
12,67,70
12,9,23
12,76,21
12,37,13
12,15,50
12,43,8
12,169,66
12,53,2
12,12,70
12,322,4
14,78,92
14,15,179
14,74,53
14,73,66
14,14,187
14,77,35
14,75,66
14,47,98
14,88,34
14,69,44
14,48,7
14,66,154
14,68,38
14,85,124
14,9,22
14,46,16
14,76,52
14,67,60
14,53,3
14,169,25
14,20,5
14,6,8
14,101,5
14,313,2
14,260,1
15,15,138
15,14,204
15,78,181
15,73,149
15,74,142
15,75,203
15,47,114
15,77,94
15,80,32
15,23,47
15,26,29
15,66,42
15,71,69
15,68,47
15,302,19
15,41,6
15,9,33
15,48,74
15,63,8
15,10,33
15,67,82
15,62,16
15,46,57
15,20,20
15,135,6
15,55,15
15,169,9
16,16,117
16,17,97
16,42,22
16,43,42
16,54,15
16,122,85
16,158,47
16,55,61
16,44,105
16,56,123
16,8,258
16,19,69
16,169,64
16,27,32
16,6,23
16,53,53
16,51,9
16,39,87
16,185,7
16,36,12
16,66,1
16,132,17
16,41,107
16,127,14
16,62,17
16,263,25
16,305,30
16,155,12
16,266,4
16,181,11
16,173,12
16,319,1
16,187,4
16,162,6
16,221,5
16,170,46
16,57,48
17,16,182
17,17,332
17,42,78
17,58,777
17,7,70
17,54,29
17,122,111
17,158,21
17,88,10
17,66,74
17,55,22
17,133,11
17,41,10
17,67,25
17,50,78
17,180,10
17,101,33
17,185,10
17,121,30
17,186,29
17,313,9
17,181,5
17,141,8
17,143,10
17,222,1
17,53,73
17,45,22
18,57,15
18,1,112
18,19,206
18,43,21
18,16,65
18,20,85
18,42,31
18,68,19
18,8,6
18,67,54
18,14,1
18,17,24
19,20,92
19,1,74
19,18,124
19,44,33
19,51,73
19,57,38
19,76,47
19,62,76
19,66,40
19,21,28
19,65,51
19,60,27
19,16,60
19,10,13
19,43,76
19,309,7
19,68,43
19,41,15
19,22,57
19,77,44
19,23,22
19,122,14
19,131,4
19,169,35
19,162,15
19,19,205
19,187,2
19,270,2
20,1,186
20,21,84
20,62,55
20,88,35
20,65,93
20,20,224
20,50,111
20,68,44
20,17,71
20,76,84
20,46,18
20,58,26
20,67,111
20,51,43
20,73,64
20,86,15
20,43,44
20,57,23
20,16,89
20,29,10
20,319,23
20,15,5
20,53,16
20,78,25
20,66,43
20,6,11
20,134,18
20,133,5
20,159,25
20,160,12
20,135,36
20,187,2
20,169,29
20,128,2
21,20,121
21,18,18
21,73,8
21,70,3
21,76,25
21,17,42
21,16,44
21,105,12
21,47,37
21,86,9
21,34,4
21,155,7
21,211,1
21,270,2
22,12,9
22,48,41
22,1,23
22,25,25
22,22,102
22,66,23
22,15,24
22,130,1
22,65,2
22,26,5
23,48,49
23,47,101
23,25,5
