source,target,salience
1,9,0.03535353535353535
1,51,0.005050505050505051
1,20,0.26262626262626265
1,8,0.030303030303030304
1,37,0.010101010101010102
1,56,0.015151515151515152
1,42,0.398989898989899
1,39,0.025252525252525252
1,44,0.015151515151515152
1,55,0.010101010101010102
1,17,0.03535353535353535
1,18,0.005050505050505051
1,81,0.005050505050505051
1,41,0.0707070707070707
1,19,0.03535353535353535
1,194,0.010101010101010102
1,108,0.020202020202020204
1,107,0.005050505050505051
76,51,0.005050505050505051
76,20,0.11616161616161616
76,8,0.11616161616161616
76,37,0.010101010101010102
76,6,0.005050505050505051
76,169,0.3686868686868687
76,10,0.030303030303030304
76,136,0.05555555555555555
76,310,0.005050505050505051
76,40,0.010101010101010102
76,60,0.010101010101010102
76,68,0.005050505050505051
76,50,0.1414141414141414
76,66,0.06060606060606061
76,34,0.015151515151515152
76,303,0.015151515151515152
76,236,0.005050505050505051
76,109,0.020202020202020204
9,51,0.010101010101010102
9,8,0.5303030303030303
9,37,0.015151515151515152
9,5,0.03535353535353535
9,53,0.07575757575757576
9,6,0.005050505050505051
9,56,0.005050505050505051
9,58,0.045454545454545456
9,10,0.025252525252525252
9,310,0.005050505050505051
9,40,0.010101010101010102
9,60,0.010101010101010102
9,41,0.025252525252525252
9,19,0.010101010101010102
9,50,0.05555555555555555
9,66,0.10606060606060606
9,311,0.005050505050505051
9,88,0.005050505050505051
9,109,0.005050505050505051
43,56,0.005050505050505051
43,42,0.030303030303030304
43,58,0.7525252525252525
43,55,0.010101010101010102
43,135,0.04040404040404041
43,7,0.005050505050505051
43,161,0.06565656565656566
43,50,0.045454545454545456
43,185,0.005050505050505051
43,184,0.020202020202020204
43,123,0.005050505050505051
43,107,0.005050505050505051
43,106,0.005050505050505051
31,62,0.7121212121212122
31,34,0.25757575757575757
31,318,0.005050505050505051
31,108,0.020202020202020204
51,22,0.005050505050505051
51,8,0.6111111111111112
51,306,0.005050505050505051
51,58,0.04040404040404041
51,67,0.12121212121212122
51,68,0.010101010101010102
51,19,0.020202020202020204
51,50,0.030303030303030304
51,73,0.015151515151515152
51,301,0.015151515151515152
51,62,0.030303030303030304
51,65,0.020202020202020204
51,23,0.005050505050505051
22,44,0.5404040404040404
22,15,0.050505050505050504
22,134,0.005050505050505051
22,19,0.1919191919191919
22,86,0.010101010101010102
22,48,0.13131313131313133
22,320,0.04040404040404041
20,16,0.050505050505050504
20,67,0.17676767676767677
20,18,0.010101010101010102
20,19,0.03535353535353535
20,38,0.005050505050505051
20,50,0.0707070707070707
20,73,0.010101010101010102
20,21,0.005050505050505051
20,62,0.030303030303030304
20,65,0.07575757575757576
8,315,0.005050505050505051
8,5,0.005050505050505051
8,53,0.045454545454545456
8,6,0.005050505050505051
8,56,0.005050505050505051
8,42,0.030303030303030304
8,169,0.37373737373737376
8,39,0.020202020202020204
